"customer_key","customer_id","full_name","city","acquisition_channel","signup_date"
"1501","1","Megan Ramos","New Rebeccatown","Direct","2025-02-19"
"1502","2","Edward Page","Gregorytown","Paid Ads","2025-01-07"
"1503","3","Christopher Singleton","West Kennethborough","Referral","2025-09-26"
"1504","4","Melissa Lewis","Port Williammouth","Referral","2025-07-18"
"1505","5","Nicole James","Josephbury","Organic Search","2025-06-26"
"1506","6","Barbara Taylor","Daybury","Paid Ads","2026-01-25"
"1507","7","Michelle Johnson","South Danielle","Paid Ads","2026-04-03"
"1508","8","David Jimenez","East Devin","Paid Ads","2025-08-23"
"1509","9","Joseph Phillips","East Daniel","Paid Ads","2025-05-12"
"1510","10","Steven Davis","Aguilarburgh","Referral","2025-12-09"
"1511","11","Vanessa Davis","East Kathymouth","Referral","2025-07-02"
"1512","12","Anthony Brown","West Nicole","Organic Search","2025-06-26"
"1513","13","Emily Rush","New Lawrencehaven","Organic Search","2025-05-28"
"1514","14","Tony Petty","New Kaylahaven","Organic Search","2026-02-06"
"1515","15","Craig Garcia","Nelsonville","Instagram","2025-02-23"
"1516","16","Jennifer Burton","Parkview","Instagram","2025-05-25"
"1517","17","Janice Gonzalez","Jodibury","Direct","2026-06-10"
"1518","18","Albert Hunter","Whitechester","Direct","2025-10-05"
"1519","19","Brandon Perkins","Port Anthonyhaven","Paid Ads","2025-06-21"
"1520","20","Brandon Hudson","South Larry","Organic Search","2025-05-04"
"1521","21","Joshua Hicks","East Pedro","Direct","2025-10-31"
"1522","22","Sheena Cummings","Hintonton","Paid Ads","2025-10-08"
"1523","23","Debra Johnston","Wilsonland","Organic Search","2025-10-19"
"1524","24","Anthony Harrison","Anthonyside","Paid Ads","2025-09-22"
"1525","25","Victoria Hill","Jennifertown","Instagram","2026-01-22"
"1526","26","Sarah Smith","West Craigshire","Paid Ads","2025-08-15"
"1527","27","Jacob Collins","New Nancy","Paid Ads","2025-06-19"
